text,kw,prob
"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence , often at the whims of the government .",migrant,0.23776440965011716
"From mother ( played by Bollywood actress Seema Biswas of Bandit Queen fame ) who rejected him and a society that offered no respite , Siva was , in a nutshell , a hopeless street vagabond .",hopeless,0.23776610400527715
"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Syria in early September had led to establishing peace , balance and stability in a region taken over by hopelessness "" .",hopeless,0.23779145004227759
Camfed would like to see this trend reversed . It would like to see more girls in school . Basic Education Statistics in Tanzania ( BEST 2010 ) show that only 18 percent of girls have completed secondary school education . This is why Camfed supports girls from poor families to obtain secondary education and its efforts have seen many go to university .,poor-families,0.2378658869303763
The law stipulated 21 rights of the disabled persons . The disabled persons must get the national identity cards and be listed in the voters roll . Even they will be able to contest in the polls .,disabled,0.2378756206482649
""" In addition , the Members of Parliament will visit two projects that focus on the inclusion of street children and victims of acid attacks to demonstrate their solidarity with those vulnerable groups in need of support . Finally , on April 29 the delegation will brief the journalists on the outcome of the visit at a press conference . """,in-need,0.23788270335644485
"Government support to bring the Housing First programme to Wellington will make a real difference for the homeless , says National 's Wellington Central candidate Nicola Willis .",homeless,0.23789273723959922
"Cheung said 20 disabled undergraduate students from seven universities will start their eight-week internship in government departments this month , receiving the same salaries as able-bodied colleagues of HK$9,600 a month .",disabled,0.23789369193837046
"It is also good news for women 's issues , which are in desperate need of a woman 's touch . As much work as the ANC has done thus far , we have a long way to go in this and in many other regards .",women,0.23789631938561798
"In Dublin , the Church of Ireland Archbishop Dr Michael Jackson reflected on the year drawing to a close and recalled the "" horrific conflagration at the halting site in Carrickmines "" and the death of Garda Tony Golden in Omeath , as well as the "" refugees fleeing from Syria "" and other parts of the Middle East and the "" forgotten peoples of Africa "" .",refugee,0.23789992043748498
"A massive cleanup and awareness drive was conducted jointly by the LWMC and the Bahria University , Lahore Campus in different localities of Johar Town . The purpose of the drive was to improve state of cleanliness and sensitise poor families to hygienic conditions .",poor-families,0.2379073535092175
"Mari ? tte Coetzee from Stofberg Family Vineyards ( whose Mia Chenin Blanc 2016 was the garagiste trophy winner at last year 's Michelangelo Awards and the recipient of four Platter 's stars for the Mari ? tte Chenin Blanc 2016 ) , says : "" We can be extremely proud of the current women winemakers in our industry , especially considering most of them are juggling a family along with the long working hours .",women,0.2379084770567715
"IdeaRaya spokesman Maryam Ramli Lee in an interview with Malay Mail Online , September 10 , 2015 . For human rights , Idearaya is shining a spotlight on marginalised communities such as refugees and migrant workers , while its focus for philosophy this year would be on educating children to express themselves philosophically .",refugee,0.2379437442868948
"Yangon , Myanmar , September 29 , 2017 -- Sanna Johnson , IRC 's Regional Director said : "" Whether forced to flee to neighbouring Bangladesh or stuck in northern Myanmar , cut off from essential services and lifesaving aid , Rohingya refugees have no safe place to call home . Today 's reported drownings are a tragic reminder of this desperation . As the largest health care provider in Rakhine State , the IRC is deeply alarmed by conditions on both sides of the border and calls for immediate access to reach those communities in need . """,in-need,0.23794618593528866
"Many refugees do n't want to be resettled anywhere , let alone in the US .",refugee,0.2379552281461656
"Hundreds of thousand Africans are graduating per year . Different from 1980s and early 1990s when college outpours got immediately absorbed in the labour market , many today are jobless and hopeless .",hopeless,0.23795890901237726
"The Global Gender Gap Report 2016 has ranked Pakistan 143 out of 144 countries . This really demonstrates the failure of feminists who are hopeless to break the historical shackles of bondage on women and establish favorable political , educational , economic , and health conditions .",hopeless,0.2379688302986324
News this month that Anglican Care spent $4 million buying a Christchurch site as a hub for vulnerable youths is a fine example of that community-minded approach . In years to come there may be an interesting contrast between a beautifully restored cathedral that is empty much of the time and a youth hub and revamped City Mission that are constantly busy .,vulnerable,0.23798330761492253
"A top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imposing taxes on unhealthy products -- if other efforts fail to encourage better eating habits among Hong Kong residents . Dr Regina Ching from the Health Department said such moves could be explored as a way to cut levels of chronic illnesses in the city , such ...",poor-families,0.23798676375299693
"The World Health Organization did not give a reason for the increase in deaths , but a provincial health official in Sindh said that the disease hit areas where poor families did not vaccinate their children .",poor-families,0.23798708068206906
