text,kw,prob
"Cheung said 20 disabled undergraduate students from seven universities will start their eight-week internship in government departments this month , receiving the same salaries as able-bodied colleagues of HK$9,600 a month .",disabled,1.0677028967620572e-06
"The World Health Organization did not give a reason for the increase in deaths , but a provincial health official in Sindh said that the disease hit areas where poor families did not vaccinate their children .",poor-families,1.2098656725356705e-06
Famously progressive San Francisco has among America 's most eco-friendly public policies and has declared itself a sanctuary to immigrants it considers persecuted by President Donald Trump 's administration .,migrant,9.22347044252092e-06
"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Syria in early September had led to establishing peace , balance and stability in a region taken over by hopelessness "" .",hopeless,1.3420012692222372e-05
"In the space of a week , four beautiful young women gave up their lives voluntarily over reasons ranging from a love affair to depression to unemployment . All were educated and from reasonably good families . And these are just some of the reports that media covered . Looked at dispassionately and from a distance , none of their problems seem insurmountable . What a waste of young , beautiful lives !",women,2.2827998691354878e-05
t is remiss not to mention here that not all scavenging children come from poor families . Children hailing from affluent families use dumpsites as playgrounds .,poor-families,2.355261858610902e-05
"But if the Supreme Court gives a favorable decision for the president , his immigration program would immediately take effect , changing the lives of eligible Filipino families and other immigrants .",immigrant,2.4300239601871e-05
"Michael Gove 's recent suggestion that inadequate financial management skills among poor families are to blame for the increasing demand on food banks has , unsurprisingly , sparked an angry response . Critics feel the Conservative Party is out of touch with the pressures on ordinary families .",poor-families,2.5867431759252213e-05
"A massive cleanup and awareness drive was conducted jointly by the LWMC and the Bahria University , Lahore Campus in different localities of Johar Town . The purpose of the drive was to improve state of cleanliness and sensitise poor families to hygienic conditions .",poor-families,3.426849434617907e-05
"The drama 's compelling nature derived from a thorough knowledge of its cast , more numerous and improbable than any soap opera 's . The bite came from underlying tragedy : lost wives , lost jobs , pennilessness , homelessness and death . I have never laughed so much as in Soho in the Eighties .",homeless,4.133539550821297e-05
"In a statement , the UNHCR said it is "" alarmed and concerned "" by Tuesday 's incident and urged the "" public and all those concerned with refugees to continue extending protection and to show empathy for civilians fleeing persecution and violence . """,refugee,5.3075080359121785e-05
"While some said they were just out to hang out with their friends of like persuasion , this was no social gathering for others ; it was a place of work . For some of these male prostitutes , the ' clients ' they picked up on this corner were their only means of survival , and the streets , in some cases , a home for the homeless among them .",homeless,7.254361844388768e-05
"A top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imposing taxes on unhealthy products -- if other efforts fail to encourage better eating habits among Hong Kong residents . Dr Regina Ching from the Health Department said such moves could be explored as a way to cut levels of chronic illnesses in the city , such ...",poor-families,0.00017400544311385602
"Krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . She hopes the book , which contains some of her own work as well , will show how talented disabled people can be .",disabled,0.00017400544311385602
"Many refugees do n't want to be resettled anywhere , let alone in the US .",refugee,0.00019110430730506778
The law stipulated 21 rights of the disabled persons . The disabled persons must get the national identity cards and be listed in the voters roll . Even they will be able to contest in the polls .,disabled,0.0002453695051372051
"So when journalists and observers tell us that , "" Toronto will never be the same again , "" they are not only wrong , but are extremely unhelpful . Of course Toronto will be just the same again . Not for the poor families of the deceased , not for those struggling with ghastly and perhaps life-changing injuries , but for most of the rest of us . It wo n't change , because it never does .",poor-families,0.00026119028916582465
News this month that Anglican Care spent $4 million buying a Christchurch site as a hub for vulnerable youths is a fine example of that community-minded approach . In years to come there may be an interesting contrast between a beautifully restored cathedral that is empty much of the time and a youth hub and revamped City Mission that are constantly busy .,vulnerable,0.00034599160426296294
""" Some come from poor families and then you find swimming in millions and they lose focus , then they fizz out from football altogether , "" he said , making it clear that to have a Paul Pogba-esque success , one needs to work that much harder and not get influenced easily especially at this age and that too coming from Africa .",poor-families,0.0004442183708306402
""" I and my daughter Monica are excited about providing a space for disabled people to be able to get together and earn fair prices for their work , "" Mr. Rogers said .",disabled,0.0004442183708306402
